Name,Gender,DOB,POB,DOD,POD,Description,Image,ID
王木,男,N/A,N/A,N/A,N/A,N/A,N/A,http://www.wikidata.org/entity/Q45432077
趙千里,男,N/A,N/A,N/A,N/A,N/A,N/A,http://www.wikidata.org/entity/Q45432083
顧德謙,男,N/A,N/A,N/A,N/A,N/A,N/A,http://www.wikidata.org/entity/Q45432123
毛文昌,男,N/A,N/A,N/A,N/A,N/A,N/A,http://www.wikidata.org/entity/Q45432143
何世昌,男,N/A,N/A,N/A,N/A,N/A,N/A,http://www.wikidata.org/entity/Q45432156
屈用誠,男,N/A,N/A,N/A,N/A,N/A,N/A,http://www.wikidata.org/entity/Q45432163
朱大洞,男,N/A,N/A,N/A,N/A,N/A,N/A,http://www.wikidata.org/entity/Q45432161
李澄,男,N/A,N/A,N/A,N/A,N/A,N/A,http://www.wikidata.org/entity/Q45432202
趙晞遠,男,N/A,N/A,N/A,N/A,N/A,N/A,http://www.wikidata.org/entity/Q45432207
李權,男,N/A,N/A,N/A,N/A,N/A,N/A,http://www.wikidata.org/entity/Q45432212
房歛,男,N/A,N/A,N/A,N/A,N/A,N/A,http://www.wikidata.org/entity/Q45432226
王公道,男,N/A,N/A,N/A,N/A,N/A,N/A,http://www.wikidata.org/entity/Q45432232
尹質,男,N/A,N/A,N/A,N/A,N/A,N/A,http://www.wikidata.org/entity/Q45432274
龔吉,男,N/A,N/A,N/A,N/A,N/A,N/A,http://www.wikidata.org/entity/Q45432477
邵斌,男,N/A,N/A,N/A,N/A,N/A,N/A,http://www.wikidata.org/entity/Q45432488
宋永錫,男,N/A,N/A,N/A,N/A,N/A,N/A,http://www.wikidata.org/entity/Q45432494
李漢舉,男,N/A,N/A,N/A,N/A,N/A,N/A,http://www.wikidata.org/entity/Q45432506
李宗成,男,N/A,N/A,N/A,N/A,N/A,N/A,http://www.wikidata.org/entity/Q45432514
朱光普,男,N/A,N/A,N/A,N/A,N/A,N/A,http://www.wikidata.org/entity/Q45432522
顧師顏,男,N/A,N/A,N/A,N/A,N/A,N/A,http://www.wikidata.org/entity/Q45432559
施義,男,N/A,N/A,N/A,N/A,N/A,N/A,http://www.wikidata.org/entity/Q45432556
王友,男,N/A,N/A,N/A,N/A,N/A,N/A,http://www.wikidata.org/entity/Q45432579
王登仕,男,N/A,N/A,N/A,N/A,N/A,N/A,http://www.wikidata.org/entity/Q45432582
呂元亨,男,N/A,N/A,N/A,N/A,N/A,N/A,http://www.wikidata.org/entity/Q45432596
甘風子,男,N/A,N/A,N/A,N/A,N/A,N/A,http://www.wikidata.org/entity/Q45432622
林谷成,男,N/A,N/A,N/A,N/A,N/A,N/A,http://www.wikidata.org/entity/Q45432639
牟谷,男,N/A,N/A,N/A,N/A,N/A,N/A,http://www.wikidata.org/entity/Q45432665
李德柔,男,N/A,N/A,N/A,N/A,N/A,N/A,http://www.wikidata.org/entity/Q45432699
吳俊臣,男,N/A,N/A,N/A,N/A,N/A,N/A,http://www.wikidata.org/entity/Q45432697
王友端,男,N/A,N/A,N/A,N/A,N/A,N/A,http://www.wikidata.org/entity/Q45432824
於青年,男,N/A,N/A,N/A,N/A,N/A,N/A,http://www.wikidata.org/entity/Q45432847
李思賢,男,N/A,N/A,N/A,N/A,N/A,N/A,http://www.wikidata.org/entity/Q45432863
呂拙,男,N/A,N/A,N/A,N/A,N/A,N/A,http://www.wikidata.org/entity/Q45432869
王珏,男,N/A,N/A,N/A,N/A,N/A,N/A,http://www.wikidata.org/entity/Q45432892
何閣長,男,N/A,N/A,N/A,N/A,N/A,N/A,http://www.wikidata.org/entity/Q45432946
李達,男,N/A,N/A,N/A,N/A,N/A,N/A,http://www.wikidata.org/entity/Q45432977
顧洪祝,男,N/A,N/A,N/A,N/A,N/A,N/A,http://www.wikidata.org/entity/Q45433005
吳懷,男,N/A,N/A,N/A,N/A,N/A,N/A,http://www.wikidata.org/entity/Q45433023
王會,男,N/A,N/A,N/A,N/A,N/A,N/A,http://www.wikidata.org/entity/Q45433036
任安,男,N/A,N/A,N/A,N/A,N/A,N/A,http://www.wikidata.org/entity/Q45433055
釋繼肇,男,N/A,N/A,N/A,N/A,N/A,N/A,http://www.wikidata.org/entity/Q45433058
李遠,男,N/A,N/A,N/A,N/A,N/A,N/A,http://www.wikidata.org/entity/Q45433057
眉山老書生,男,N/A,N/A,N/A,N/A,N/A,N/A,http://www.wikidata.org/entity/Q45433097
李象坤,男,N/A,N/A,N/A,N/A,N/A,N/A,http://www.wikidata.org/entity/Q45433114
牟益,男,N/A,N/A,N/A,N/A,N/A,N/A,http://www.wikidata.org/entity/Q45433112
